Country,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,Confirmed,Death,,Continent,Population,,Contry,Populatio,Continen
Iran,3,Both,22,All Ages,294,All causes,1,Number,2019,391113.1228,402131.9076,381512.5964,391114,402132,,Asia,83992953,,Indonesia,273523621,Asia
Iraq,3,Both,22,All Ages,294,All causes,1,Number,2019,179615.2377,214107.6862,148050.6783,179616,214108,,Asia,40222503,,Iran,83992953,Asia
Ireland,3,Both,22,All Ages,294,All causes,1,Number,2019,32354.41954,33434.79109,31354.51973,32355,33435,,Europe,4937796,,Iraq,40222503,Asia
Israel,3,Both,22,All Ages,294,All causes,1,Number,2019,47925.32917,49151.13255,46793.15662,47926,49152,,Asia,8655541,,Ireland,4937796,Europe
Italy,3,Both,22,All Ages,294,All causes,1,Number,2019,642341.6447,647782.7072,636810.8552,642342,647783,,Europe,60461828,,Israel,8655541,Asia
Jamaica,3,Both,22,All Ages,294,All causes,1,Number,2019,19657.68707,23631.21856,16302.44514,19658,23632,,North America,2961161,,Italy,60461828,Europe
Japan,3,Both,22,All Ages,294,All causes,1,Number,2019,1400012.509,1412929.7,1387141.929,1400013,1412930,,Asia,126476458,,Jamaica,2961161,North America
Jordan,3,Both,22,All Ages,294,All causes,1,Number,2019,32264.88943,37638.54185,27963.59721,32265,37639,,Asia,10203140,,Japan,126476458,Asia
Kazakhstan,3,Both,22,All Ages,294,All causes,1,Number,2019,139467.3174,155263.8375,124890.4407,139468,155264,,Asia,18776707,,Jordan,10203140,Asia
Kenya,3,Both,22,All Ages,294,All causes,1,Number,2019,293887.6449,321828.8707,268132.1452,293888,321829,,Africa,53771300,,Kazakhstan,18776707,Asia
Kuwait,3,Both,22,All Ages,294,All causes,1,Number,2019,10012.89961,11621.0433,8650.263628,10013,11622,,Asia,4270563,,Kenya,53771300,Africa
Kyrgyzstan,3,Both,22,All Ages,294,All causes,1,Number,2019,34676.27705,38236.12101,31415.56143,34677,38237,,Asia,6524191,,"Korea, South",51640000,Asia
