Country,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,Continent,Confirmed,Death
Greece,3,Both,22,All Ages,294,All causes,1,Number,2019,128668.6454,131434.5429,126124.5361,South America,128669,131435
Greenland,3,Both,22,All Ages,294,All causes,1,Number,2019,480.459239,564.4337557,400.1222333,North America,481,565
Grenada,3,Both,22,All Ages,294,All causes,1,Number,2019,818.5008659,877.4943955,761.0929756,North America,819,878
Guam,3,Both,22,All Ages,294,All causes,1,Number,2019,1127.683328,1307.972343,974.6034147,Europe,1128,1308
Guatemala,3,Both,22,All Ages,294,All causes,1,Number,2019,94820.58296,117671.5567,75913.39722,Europe,94821,117672
Guinea,3,Both,22,All Ages,294,All causes,1,Number,2019,114264.9427,138037.0348,93661.21112,Asia,114265,138038
Guinea-Bissau,3,Both,22,All Ages,294,All causes,1,Number,2019,14816.42994,17869.94255,12363.71797,Asia,14817,17870
Guyana,3,Both,22,All Ages,294,All causes,1,Number,2019,6683.80244,8287.306194,5339.184834,Asia,6684,8288
Haiti,3,Both,22,All Ages,294,All causes,1,Number,2019,99707.81727,121483.4653,81961.75684,Asia,99708,121484
Honduras,3,Both,22,All Ages,294,All causes,1,Number,2019,52569.32567,62389.05885,46180.45226,Europe,52570,62390
Hungary,3,Both,22,All Ages,294,All causes,1,Number,2019,128867.8596,150891.4727,109906.7223,Asia,128868,150892
Iceland,3,Both,22,All Ages,294,All causes,1,Number,2019,2113.289361,2286.717617,1967.843082,Europe,2114,2287
India,3,Both,22,All Ages,294,All causes,1,Number,2019,9391548.569,10425633.73,8429791.218,North America,9391549,10425634
Indonesia,3,Both,22,All Ages,294,All causes,1,Number,2019,1705894.651,1886967.797,1480241.119,Asia,1705895,1886968
Iran (Islamic Republic of),3,Both,22,All Ages,294,All causes,1,Number,2019,391113.1228,402131.9076,381512.5964,Asia,391114,402132
Iraq,3,Both,22,All Ages,294,All causes,1,Number,2019,179615.2377,214107.6862,148050.6783,Asia,179616,214108
Ireland,3,Both,22,All Ages,294,All causes,1,Number,2019,32354.41954,33434.79109,31354.51973,Africa,32355,33435
Israel,3,Both,22,All Ages,294,All causes,1,Number,2019,47925.32917,49151.13255,46793.15662,Asia,47926,49152
Italy,3,Both,22,All Ages,294,All causes,1,Number,2019,642341.6447,647782.7072,636810.8552,Europe,642342,647783
Jamaica,3,Both,22,All Ages,294,All causes,1,Number,2019,19657.68707,23631.21856,16302.44514,Asia,19658,23632
Japan,3,Both,22,All Ages,294,All causes,1,Number,2019,1400012.509,1412929.7,1387141.929,Asia,1400013,1412930
Jordan,3,Both,22,All Ages,294,All causes,1,Number,2019,32264.88943,37638.54185,27963.59721,Asia,32265,37639
Kazakhstan,3,Both,22,All Ages,294,All causes,1,Number,2019,139467.3174,155263.8375,124890.4407,Europe,139468,155264
Kenya,3,Both,22,All Ages,294,All causes,1,Number,2019,293887.6449,321828.8707,268132.1452,Asia,293888,321829
Kiribati,3,Both,22,All Ages,294,All causes,1,Number,2019,1151.025532,1376.205081,951.9590994,Africa,1152,1377
Kuwait,3,Both,22,All Ages,294,All causes,1,Number,2019,10012.89961,11621.0433,8650.263628,Africa,10013,11622
Kyrgyzstan,3,Both,22,All Ages,294,All causes,1,Number,2019,34676.27705,38236.12101,31415.56143,Africa,34677,38237
Lao People's Democratic Republic,3,Both,22,All Ages,294,All causes,1,Number,2019,44456.84059,52996.99334,36587.60421,Europe,44457,52997
Latvia,3,Both,22,All Ages,294,All causes,1,Number,2019,27426.72978,31883.46583,24040.65038,Europe,27427,31884
Lebanon,3,Both,22,All Ages,294,All causes,1,Number,2019,33858.05461,37112.1619,30707.51428,Europe,33859,37113
Lesotho,3,Both,22,All Ages,294,All causes,1,Number,2019,32513.76223,38419.76715,27274.66671,Africa,32514,38420
Liberia,3,Both,22,All Ages,294,All causes,1,Number,2019,29749.79749,35158.40322,25437.14923,Africa,29750,35159
Libya,3,Both,22,All Ages,294,All causes,1,Number,2019,31659.72802,38255.23586,26454.48459,Asia,31660,38256
Lithuania,3,Both,22,All Ages,294,All causes,1,Number,2019,38501.43285,44831.62515,32822.94688,Asia,38502,44832
Luxembourg,3,Both,22,All Ages,294,All causes,1,Number,2019,4147.237839,4580.69348,3785.22552,Africa,4148,4581
Madagascar,3,Both,22,All Ages,294,All causes,1,Number,2019,164160.8851,196919.0821,135284.2343,Europe,164161,196920
Malawi,3,Both,22,All Ages,294,All causes,1,Number,2019,116671.3767,135062.6873,101169.3466,Africa,116672,135063
Malaysia,3,Both,22,All Ages,294,All causes,1,Number,2019,175875.784,212675.0656,144971.944,Africa,175876,212676
Maldives,3,Both,22,All Ages,294,All causes,1,Number,2019,1501.804558,1714.098261,1311.021015,North America,1502,1715
Mali,3,Both,22,All Ages,294,All causes,1,Number,2019,201432.9274,248581.0042,165253.7815,Europe,201433,248582
Malta,3,Both,22,All Ages,294,All causes,1,Number,2019,3780.267654,4103.015509,3479.987261,Europe,3781,4104
Marshall Islands,3,Both,22,All Ages,294,All causes,1,Number,2019,422.3923438,527.7069559,339.8626463,Asia,423,528
Mauritania,3,Both,22,All Ages,294,All causes,1,Number,2019,20981.1216,25795.25619,17621.09485,Europe,20982,25796
Mauritius,3,Both,22,All Ages,294,All causes,1,Number,2019,10713.36159,12806.76418,8943.077949,Africa,10714,12807
Mexico,3,Both,22,All Ages,294,All causes,1,Number,2019,738424.8313,827652.5288,654731.3369,Africa,738425,827653
Micronesia (Federated States of),3,Both,22,All Ages,294,All causes,1,Number,2019,939.2551657,1133.92837,770.3781223,Africa,940,1134
Monaco,3,Both,22,All Ages,294,All causes,1,Number,2019,523.7874,581.6168323,445.6724276,Asia,524,582
Mongolia,3,Both,22,All Ages,294,All causes,1,Number,2019,24859.01468,31148.56042,19992.86705,Europe,24860,31149
Montenegro,3,Both,22,All Ages,294,All causes,1,Number,2019,6793.67982,7767.442284,5949.634025,Oceania,6794,7768
Morocco,3,Both,22,All Ages,294,All causes,1,Number,2019,228124.4127,261259.5419,187836.9201,North America,228125,261260
Mozambique,3,Both,22,All Ages,294,All causes,1,Number,2019,264784.1922,307634.2569,228277.6245,Africa,264785,307635
Myanmar,3,Both,22,All Ages,294,All causes,1,Number,2019,420932.0779,494445.2655,366967.187,Africa,420933,494446
Namibia,3,Both,22,All Ages,294,All causes,1,Number,2019,18906.92028,22963.29461,15687.91887,Europe,18907,22964
Nauru,3,Both,22,All Ages,294,All causes,1,Number,2019,66.74081959,79.00875956,56.51210303,Europe,67,80
